Matrix Index	Metabolite#	MetaboliteID	Reaction#	ReactionID	Stoichiometry
674	13	M_h2o_c	108	R_5GLUP5T2	1
675	129	M_co2_c	108	R_5GLUP5T2	1
676	176	M_HC01700_c	108	R_5GLUP5T2	1
677	13	M_h2o_c	109	R_6PHBG	-1
678	177	M_salc6p_c	109	R_6PHBG	-1
679	178	M_2hymeph_c	109	R_6PHBG	1
680	179	M_g6p_c	109	R_6PHBG	1
681	13	M_h2o_c	110	R_6PHBG2	-1
682	177	M_salc6p_c	110	R_6PHBG2	-1
683	178	M_2hymeph_c	110	R_6PHBG2	1
684	180	M_g6p_B_c	110	R_6PHBG2	1
685	181	M_ru5p_D_c	111	R_A5PISO	-1
686	181	M_ru5p_D_c	1411	R_A5PISO_reverse	1
687	182	M_ara5p_c	111	R_A5PISO	1
688	182	M_ara5p_c	1411	R_A5PISO_reverse	-1
689	7	M_nad_c	112	R_AACGLYDH	-1
690	7	M_nad_c	1412	R_AACGLYDH_reverse	1
691	13	M_h2o_c	112	R_AACGLYDH	-1
692	13	M_h2o_c	1412	R_AACGLYDH_reverse	1
693	183	M_aacald_c	112	R_AACGLYDH	-1
694	183	M_aacald_c	1412	R_AACGLYDH_reverse	1
695	4	M_h_c	112	R_AACGLYDH	2
696	4	M_h_c	1412	R_AACGLYDH_reverse	-2
697	5	M_nadh_c	112	R_AACGLYDH	1
698	5	M_nadh_c	1412	R_AACGLYDH_reverse	-1
699	184	M_gly_c	112	R_AACGLYDH	1
700	184	M_gly_c	1412	R_AACGLYDH_reverse	-1
701	29	M_coa_c	113	R_AACOAT	-1
702	185	M_atp_c	113	R_AACOAT	-1
703	186	M_acac_c	113	R_AACOAT	-1
704	187	M_aacoa_c	113	R_AACOAT	1
705	188	M_amp_c	113	R_AACOAT	1
706	189	M_ppi_c	113	R_AACOAT	1
707	28	M_ACP_c	114	R_AACPS7	-1
708	185	M_atp_c	114	R_AACPS7	-1
709	190	M_ddca_c	114	R_AACPS7	-1
710	137	M_ddcaACP_c	114	R_AACPS7	1
711	188	M_amp_c	114	R_AACPS7	1
712	189	M_ppi_c	114	R_AACPS7	1
713	13	M_h2o_c	115	R_AB6PGH	-1
714	191	M_arbt6p_c	115	R_AB6PGH	-1
715	179	M_g6p_c	115	R_AB6PGH	1
716	192	M_hqn_c	115	R_AB6PGH	1
717	13	M_h2o_c	116	R_AB6PGH2	-1
718	191	M_arbt6p_c	116	R_AB6PGH2	-1
719	180	M_g6p_B_c	116	R_AB6PGH2	1
720	192	M_hqn_c	116	R_AB6PGH2	1
721	24	M_akg_c	117	R_ABTA	-1
722	193	M_4abut_c	117	R_ABTA	-1
723	22	M_glu_L_c	117	R_ABTA	1
724	154	M_sucsal_c	117	R_ABTA	1
725	7	M_nad_c	118	R_ABUTD	-1
726	13	M_h2o_c	118	R_ABUTD	-1
727	194	M_4abutn_c	118	R_ABUTD	-1
728	4	M_h_c	118	R_ABUTD	2
729	5	M_nadh_c	118	R_ABUTD	1
730	193	M_4abut_c	118	R_ABUTD	1
731	10	M_nadp_c	119	R_ABUTR	-1
732	10	M_nadp_c	1413	R_ABUTR_reverse	1
733	13	M_h2o_c	119	R_ABUTR	-1
734	13	M_h2o_c	1413	R_ABUTR_reverse	1
735	194	M_4abutn_c	119	R_ABUTR	-1
736	194	M_4abutn_c	1413	R_ABUTR_reverse	1
737	4	M_h_c	119	R_ABUTR	2
738	4	M_h_c	1413	R_ABUTR_reverse	-2
739	12	M_nadph_c	119	R_ABUTR	1
740	12	M_nadph_c	1413	R_ABUTR_reverse	-1
741	193	M_4abut_c	119	R_ABUTR	1
742	193	M_4abut_c	1413	R_ABUTR_reverse	-1
743	31	M_h_e	120	R_ABUTt2r	-1
744	31	M_h_e	1414	R_ABUTt2r_reverse	1
745	195	M_4abut_e	120	R_ABUTt2r	-1
746	195	M_4abut_e	1414	R_ABUTt2r_reverse	1
747	4	M_h_c	120	R_ABUTt2r	1
748	4	M_h_c	1414	R_ABUTt2r_reverse	-1
